id,file_path,errors,updated_at
1230,/home/andrey/octoshell-v2/public/uploads/sessions/report/materials/1230/original/отчет_2013.rar,"{:materials=>""файл слишком большой (максимальный размер: 20,0 МБ)""}",2015-01-14 12:09:50 +0300
1325,/home/andrey/octoshell-v2/public/uploads/sessions/report/materials/1325/original/Отчет-2013.zip,"{:materials=>""файл слишком большой (максимальный размер: 20,0 МБ)""}",2015-01-14 12:10:12 +0300
1402,/home/andrey/octoshell-v2/public/uploads/sessions/report/materials/1402/original/отчет_2013.rar,"{:materials=>""файл слишком большой (максимальный размер: 20,0 МБ)""}",2015-01-14 12:10:24 +0300
4404,/home/andrey/octoshell-v2/public/uploads/sessions/report/materials/4404/original/report_2018.zip,"{:materials=>""файл слишком большой (максимальный размер: 20,0 МБ)""}",2018-03-08 17:40:15 +0300
4489,/home/andrey/octoshell-v2/public/uploads/sessions/report/materials/4489/original/report-252.zip,"{:materials=>""файл слишком большой (максимальный размер: 20,0 МБ)""}",2018-02-14 10:54:17 +0300
4509,/home/andrey/octoshell-v2/public/uploads/sessions/report/materials/4509/original/grigorenko490.rar,"{:materials=>""файл слишком большой (максимальный размер: 20,0 МБ)""}",2018-03-07 18:20:40 +0300
4539,/home/andrey/octoshell-v2/public/uploads/sessions/report/materials/4539/original/LOM2_errors,"{:materials=>""не может быть пустым""}",2018-02-14 12:07:08 +0300
4615,/home/andrey/octoshell-v2/public/uploads/sessions/report/materials/4615/original/khrenova-otchet-2017.zip,"{:materials=>""файл слишком большой (максимальный размер: 20,0 МБ)""}",2018-02-14 10:54:27 +0300
4788,/home/andrey/octoshell-v2/public/uploads/sessions/report/materials/4788/original/report-25.zip,"{:materials=>""файл слишком большой (максимальный размер: 20,0 МБ)""}",2018-02-14 10:54:12 +0300
4744,/home/andrey/octoshell-v2/public/uploads/sessions/report/materials/4744/original/reports.zip,"{:materials=>""файл слишком большой (максимальный размер: 20,0 МБ)""}",2018-02-14 10:54:13 +0300
4953,/home/andrey/octoshell-v2/public/uploads/sessions/report/materials/4953/original/Lomonosov_Report_2017.zip,"{:materials=>""файл слишком большой (максимальный размер: 20,0 МБ)""}",2018-02-14 10:54:24 +0300
